! radius
! arcsec   MEAN         MAG      MAGCORR  LUM
!===================================================
  411.00  1255.86853   22.3060   22.9751   17.0119
  412.00  1256.34131   22.2897   22.9588   17.2699
  413.00  1256.18530   22.2950   22.9641   17.1848
  414.00  1255.77905   22.3091   22.9782   16.9630
  415.00  1255.81995   22.3077   22.9768   16.9854
  416.00  1256.20239   22.2944   22.9636   17.1941
  417.00  1256.63086   22.2798   22.9489   17.4280
  418.00  1256.14050   22.2966   22.9657   17.1603
  419.00  1256.47827   22.2850   22.9541   17.3447
  420.00  1257.48462   22.2511   22.9202   17.8939
  421.00  1258.22998   22.2267   22.8958   18.3008
  422.00  1256.00342   22.3013   22.9704   17.0855
  423.00  1255.43420   22.3212   22.9904   16.7748
  424.00  1255.44019   22.3210   22.9901   16.7781
  425.00  1255.19006   22.3299   22.9990   16.6416
  426.00  1254.84558   22.3422   23.0114   16.4536
  427.00  1254.84509   22.3423   23.0114   16.4533
  428.00  1255.63379   22.3142   22.9833   16.8838
  429.00  1255.83850   22.3071   22.9762   16.9955
  430.00  1254.86108   22.3417   23.0108   16.4620
  431.00  1254.66565   22.3487   23.0179   16.3553
  432.00  1254.27698   22.3629   23.0320   16.1432
  433.00  1254.46484   22.3560   23.0252   16.2457
  434.00  1254.24780   22.3640   23.0331   16.1273
  435.00  1254.08313   22.3701   23.0392   16.0374
  436.00  1254.03918   22.3717   23.0408   16.0134
  437.00  1253.78760   22.3810   23.0501   15.8761
  438.00  1253.74316   22.3827   23.0518   15.8518
  439.00  1254.02014   22.3724   23.0415   16.0030
  440.00  1254.10815   22.3691   23.0382   16.0511
  441.00  1255.17993   22.3303   22.9994   16.6360
  442.00  1255.46277   22.3202   22.9893   16.7904
  443.00  1253.79163   22.3809   23.0500   15.8783
  444.00  1253.33313   22.3981   23.0672   15.6281
  445.00  1253.14612   22.4052   23.0744   15.5260
  446.00  1253.05005   22.4089   23.0780   15.4735
  447.00  1253.78699   22.3811   23.0502   15.8758
  448.00  1254.23071   22.3646   23.0337   16.1180
  449.00  1253.13489   22.4057   23.0748   15.5199
  450.00  1253.00513   22.4106   23.0797   15.4490
  451.00  1252.92651   22.4137   23.0828   15.4061
  452.00  1252.72595   22.4214   23.0905   15.2967
  453.00  1252.68811   22.4229   23.0920   15.2760
  454.00  1252.68811   22.4229   23.0920   15.2760
  455.00  1252.48071   22.4309   23.1001   15.1628
  456.00  1252.67590   22.4233   23.0924   15.2693
  457.00  1253.19409   22.4034   23.0725   15.5522
  458.00  1253.46899   22.3930   23.0621   15.7022
  459.00  1252.74878   22.4205   23.0896   15.3091
  460.00  1252.50659   22.4299   23.0990   15.1769
  461.00  1252.70068   22.4224   23.0915   15.2829
  462.00  1253.36743   22.3968   23.0659   15.6468
  463.00  1252.57446   22.4273   23.0964   15.2140
  464.00  1252.39209   22.4344   23.1035   15.1144
  465.00  1252.46216   22.4317   23.1008   15.1527
  466.00  1252.60266   22.4262   23.0953   15.2294
  467.00  1252.77539   22.4195   23.0886   15.3236
  468.00  1252.53210   22.4289   23.0980   15.1908
  469.00  1252.87170   22.4158   23.0849   15.3762
  470.00  1252.25098   22.4400   23.1091   15.0374
  471.00  1251.59595   22.4661   23.1352   14.6799
  472.00  1251.30017   22.4781   23.1472   14.5185
  473.00  1251.27576   22.4791   23.1482   14.5051
  474.00  1251.18225   22.4829   23.1520   14.4541
  475.00  1251.41479   22.4734   23.1425   14.5810
  476.00  1251.60132   22.4659   23.1350   14.6828
  477.00  1251.74377   22.4601   23.1292   14.7606
  478.00  1251.53198   22.4687   23.1378   14.6450
  479.00  1251.66113   22.4635   23.1326   14.7155
  480.00  1251.71155   22.4614   23.1305   14.7430
  481.00  1251.28723   22.4786   23.1477   14.5114
  482.00  1251.20886   22.4818   23.1509   14.4686
  483.00  1251.09314   22.4866   23.1557   14.4055
  484.00  1250.98669   22.4910   23.1601   14.3474
  485.00  1250.93237   22.4932   23.1623   14.3177
  486.00  1251.06165   22.4879   23.1570   14.3883
  487.00  1250.72314   22.5019   23.1710   14.2035
  488.00  1250.64575   22.5051   23.1742   14.1613
  489.00  1250.66174   22.5045   23.1736   14.1700
  490.00  1250.83911   22.4971   23.1662   14.2668
  491.00  1250.81287   22.4982   23.1673   14.2525
  492.00  1250.90173   22.4945   23.1636   14.3010
  493.00  1250.76587   22.5001   23.1692   14.2268
  494.00  1250.88477   22.4952   23.1643   14.2917
  495.00  1250.64124   22.5053   23.1744   14.1588
  496.00  1250.32092   22.5188   23.1879   13.9840
  497.00  1250.33459   22.5182   23.1873   13.9914
  498.00  1250.30481   22.5195   23.1886   13.9752
  499.00  1250.19189   22.5243   23.1934   13.9136
  500.00  1250.72620   22.5018   23.1709   14.2052
  501.00  1251.18042   22.4830   23.1521   14.4531
  502.00  1250.54980   22.5092   23.1783   14.1089
  503.00  1250.68591   22.5035   23.1726   14.1832
  504.00  1250.78516   22.4993   23.1684   14.2374
  505.00  1250.50586   22.5110   23.1801   14.0849
  506.00  1250.54712   22.5093   23.1784   14.1074
  507.00  1250.71216   22.5024   23.1715   14.1975
  508.00  1251.51953   22.4692   23.1383   14.6382
  509.00  1251.62341   22.4650   23.1341   14.6949
  510.00  1250.93616   22.4930   23.1622   14.3198
