"Time [s]","Event Name","Chamber","Event Text","O2 Concentration  (A) [nmol/ml]","O2 Slope uncorr.  (A) [pmol/(s*ml)]","O2 Concentration  (B) [nmol/ml]","O2 Slope uncorr.  (B) [pmol/(s*ml)]","Amp  (A) [µM]","Amp - slope  (A) [pmol/(s*ml)]","Amp  (B) [µM]","Amp - slope  (B) [pmol/(s*ml)]"
1656.00,"","","",178.0084,-1.1015,177.4074,-2.7228,-0.3280,0.0790,-0.3644,0.1110
1658.00,"","","",178.0126,-0.5084,177.4241,-2.4715,-0.3277,0.0786,-0.3640,0.1122
1660.00,"","","",178.0423,0.0000,177.4157,-2.1364,-0.3276,0.0778,-0.3638,0.1122
1662.00,"","","",178.0507,0.4660,177.3948,-1.7594,-0.3276,0.0770,-0.3636,0.1135
1664.00,"","","",178.0169,0.9320,177.4074,-1.4243,-0.3273,0.0766,-0.3634,0.1135
1666.00,"","","",178.0084,1.2286,177.4074,-1.1310,-0.3271,0.0766,-0.3633,0.1142
1668.00,"","","",178.0169,1.3981,177.3655,-0.6283,-0.3270,0.0762,-0.3629,0.1142
1670.00,"","","",177.9999,1.4404,177.3613,-0.1257,-0.3268,0.0762,-0.3626,0.1142
1672.00,"","","",177.9660,1.4828,177.3738,0.2932,-0.3267,0.0762,-0.3625,0.1142
1674.00,"","","",177.9533,1.4828,177.3822,0.4608,-0.3267,0.0758,-0.3623,0.1142
1676.00,"","","",177.9999,1.4404,177.3864,0.5027,-0.3266,0.0750,-0.3622,0.1142
1678.00,"","","",178.0719,1.1862,177.3780,0.5865,-0.3264,0.0750,-0.3619,0.1135
1680.00,"","","",178.0762,0.9744,177.3906,0.5865,-0.3261,0.0750,-0.3616,0.1135
1682.00,"","","",178.0169,0.8050,177.3697,0.6702,-0.3260,0.0754,-0.3614,0.1135
1684.00,"","","",177.9660,0.8050,177.3487,0.7540,-0.3260,0.0750,-0.3613,0.1135
1686.00,"","","",177.9660,0.8473,177.3697,0.8378,-0.3256,0.0750,-0.3609,0.1135
